"n","FID","CIID-1","CIID-2"
1000,0.00498017974546872,0.994598026893285,0.0352808973110222
1050,0.00322958799818758,0.677952011338532,0.0151223651861311
1100,0.0116300771209421,0.554758948428252,0.00717797475514136
1150,0.00395132141873357,0.850301605630077,0.0158986187810487
1200,0.0102241273318665,0.784435934410354,0.0135103039087624
1250,0.00824264221069771,0.610626395191271,0.0104889247093211
1300,0.00574272950422572,0.482250031280165,0.00463057775861662
1350,0.0116592060917261,0.700290116258967,0.0120454066345011
1400,0.00348475939467469,0.496656300191703,0.00637525712458144
1450,0.00407033546024886,0.49104820063672,0.00575186326193123
1500,0.00596814142126644,0.467297453837369,0.00557088723601032
1550,0.0066081855017206,0.515479520017905,0.00615532174504289
1600,0.00501769363676758,0.444367063614826,0.00639455348848964
1650,0.00127789562683273,0.420356389407033,0.00555334008287638
1700,0.00930212792439026,0.326083847041264,0.0025511956991365
1750,0.00184107677506876,0.480404079788978,0.00836201525381727
1800,0.00570921568069528,0.377113431144593,0.00310088409399498
1850,0.00623746906050567,0.585768643348829,0.0110021085753154
1900,0.00395299238056644,0.544040445382022,0.0079145256046704
1950,0.00392620404681432,0.481741804225478,0.00657979948125714
2000,0.00163087161207952,0.381426473456522,0.00406114796757545
2050,0.00376255638609284,0.335222607932086,0.00276249620305293
2100,0.000398339554654204,0.618757210032738,0.00859376390632421
2150,0.00677109750752161,0.405589484987291,0.00520086656555765
2200,0.00647183005061004,0.831408999083231,0.0186372800344939
2250,0.00236164336855017,0.544589885163435,0.00819252004724757
2300,0.00368262460270004,0.306774460228967,0.00191856509215998
2350,0.00145220955139817,0.330948432302856,0.002453228949811
2400,0.00465132713134828,0.371193597438424,0.00384622637838611
2450,0.00111706039303327,0.438755833675533,0.00503711091372493
2500,0.00476623346633679,0.549070912299182,0.00926169120473895
2550,0.00393376108449823,0.37609560672853,0.00426666654535463
2600,0.00146476978484089,0.470772168158425,0.00494413193460311
2650,0.00118773664068202,0.407187196508163,0.00282915606026344
2700,0.000825342206279638,0.471580151702706,0.00582751988173278
2750,0.00294391271452447,0.225064040524763,0.00139789293510382
2800,0.00164745164426573,0.218981947099598,0.000930826318415777
2850,0.00288087823125695,0.345797141687147,0.00280665487467175
2900,0.000421772624128658,0.530588017164244,0.00999163083885638
2950,0.000657129612116388,0.356450329055385,0.00298044086860642
3000,0.00136105250222982,0.319419649430557,0.00217125167513605
3050,0.000564769587743387,0.330263714033311,0.00225521848288015
3100,0.00188076421630441,0.316285890612633,0.00303702490790599
3150,0.00158452386061332,0.32377346401077,0.00379986197648549
3200,0.00108969170387126,0.371740046241446,0.00412216702367781
3250,0.00241417065935588,0.240897070414871,0.00129529598540518
3300,0.00109161382568762,0.384272458865613,0.00326914445973097
3350,0.00163694595526416,0.573671689479629,0.00857126025241945
3400,0.00184799916002482,0.348505927133267,0.00267176785576517
3450,0.00164594385371487,0.21509970669631,0.00115321110499756
3500,0.00111306562269411,0.251942034080596,0.00158864669989816
3550,0.000317910558936616,0.416865889774016,0.00395074248366779
3600,0.00174581776562761,0.434171013820657,0.00490645513088707
3650,0.000681693308735087,0.425138866563464,0.00430344233395233
3700,0.00248567186265787,0.315926691420918,0.00201745793009713
3750,0.00335043528808531,0.303181394167295,0.00280705340470178
3800,0.00178652594446559,0.433396499372135,0.00435233173325178
3850,0.00100243906867864,0.291692273817543,0.00196228551939148
3900,0.00051657583571647,0.289440140710641,0.00183035974867813
3950,0.00112700366817625,0.432664791225393,0.00421870804054179
4000,0.000990937880611808,0.376329573423841,0.00378246749473436
4050,0.00337353574391473,0.411395797823628,0.00368471270650039
4100,0.00178772365523192,0.434846286346217,0.00435952383676484
4150,0.0013315367626726,0.291974406580353,0.00200283588628865
4200,0.00265924999975252,0.270380749003073,0.00225226648833959
4250,0.001080277631604,0.3672913474297,0.00345226642263424
4300,0.00279586369108689,0.33131290639514,0.00347166616721449
4350,0.000641314876290101,0.269347797439459,0.00153857610419131
4400,0.000880020048736274,0.253135430962982,0.00174652477732671
4450,0.00481593217078441,0.415180487132548,0.00417315347878058
4500,0.00450411619345856,0.351828876538277,0.00293356844644084
4550,0.00137652267415761,0.249930100801738,0.00153547104185028
4600,0.00184989197656786,0.165598558977693,0.000653324636831641
4650,0.00122908274842252,0.227960880770428,0.00110051282040509
4700,0.000218542890159422,0.28207919388498,0.00169862491260696
4750,0.00222992616431643,0.350410538630753,0.00304260003247504
4800,0.00117810523491606,0.333276801442696,0.00358862208977953
4850,0.00108932426572355,0.349125982397397,0.00324062046550489
4900,0.0007735985360943,0.257810648198845,0.0019491460865601
4950,0.000391960348512778,0.255791482782066,0.00267194909669109
5000,0.000760955113031916,0.259406961947694,0.0015187228871114
5050,0.00143939762179332,0.226712262052618,0.00125996277362786
5100,0.0017644406397119,0.26191202143066,0.00164504133938971
5150,0.0022960489892331,0.378750336806864,0.00330117515754508
5200,0.000722146495454008,0.25172953632517,0.00151726474391031
5250,0.00115080713600807,0.275373784108347,0.00163348775130843
5300,0.000928532242452057,0.321165436011368,0.00190595183068825
5350,0.00295453073747182,0.291865954732747,0.00208522770309596
5400,0.00117982236073228,0.250807291747328,0.00168770516357612
5450,0.000305807247677694,0.230900357082403,0.00131569275423857
5500,0.000229011895937117,0.204872769775008,0.000934872380229169
5550,0.00311278147924882,0.274257481177079,0.00220264659751383
5600,0.00140949701239706,0.296105741798555,0.00234425283802482
5650,0.00289846051405143,0.253645743051393,0.00120239158224473
5700,0.000302831922062436,0.320340979869517,0.00248583119668004
5750,0.0017282991997353,0.26712332271607,0.00147187922088935
5800,0.000715526959318457,0.159219340708525,0.000565979669109189
5850,0.000570514373035708,0.204741881623152,0.000949928119342978
5900,0.00165526337498148,0.378325590076446,0.00426961780113408
5950,0.000482963860250054,0.192806656016593,0.000840626969207158
6000,0.000436901897045262,0.476437144087449,0.00521725157291919
6050,0.000896725045049613,0.367503504069285,0.0032602036296349
6100,0.00202110320842417,0.285017404309224,0.00204138478946907
6150,0.000293325065531976,0.30007021321475,0.00188079253476223
6200,0.000731087842924224,0.418422298713018,0.00569708321534508
6250,0.00120953255589204,0.282410670857687,0.00182837544357935
6300,0.00025030111331664,0.312273718551408,0.00302771598980451
6350,0.00222813570721849,0.285956666483756,0.00197991076107717
6400,0.00131446205147058,0.306155794286085,0.00181839180155241
6450,0.00101571696267876,0.182502382070173,0.000999472608127896
6500,0.00112199065352028,0.236317938400606,0.00144847836486063
6550,0.00133064669439736,0.264204973460655,0.0014053690506216
6600,0.00171266495436349,0.24595334371425,0.00156195511235662
6650,0.000532914788029196,0.313007960235441,0.00301536618362502
6700,0.000914527207440235,0.257823640356761,0.00190573833701839
6750,0.000573633991590177,0.244070633170496,0.00118657267086251
6800,0.000974030100695719,0.351619813129723,0.00255561346144001
6850,0.000894047009913128,0.207814028432921,0.00143004591546505
6900,0.000756041170055175,0.234569236653806,0.00118783866134352
6950,0.000298272290845676,0.199778174006094,0.000995167490552533
7000,0.00029456146968261,0.23587728927104,0.00116740965730807
7050,0.000192878896454847,0.240235771327196,0.00145607826319051
7100,0.000856178355587985,0.336883576714371,0.00241141702751482
7150,0.00126232765732835,0.191435759258624,0.000895297278891553
7200,0.00100184565008857,0.276698301101859,0.00259987866627552
7250,9.87817490266104e-05,0.226688585496903,0.00132578641671367
7300,0.000899093499233665,0.246648701708983,0.0016269272421063
7350,0.000766935242363109,0.241197276401974,0.00117725933610627
7400,0.000787924341203998,0.272506225178317,0.00188482842496888
7450,0.00085014439694836,0.275486282314977,0.00151557456205058
7500,0.000673965397314567,0.458248299672071,0.00463854864708159
7550,0.00186281222351823,0.21477006286793,0.00125254067838687
7600,0.00176005782112477,0.285967416202714,0.00152760624413624
7650,0.00128426407209014,0.227465665693829,0.00128726143426627
7700,0.00144963433365247,0.251356567999702,0.0013608793870843
7750,0.00114004303869018,0.165348340483812,0.000729266823768996
7800,0.0013778674156023,0.156369670430844,0.000568617008044111
7850,0.000839447430876625,0.22935456230176,0.00137294520962409
7900,0.00140397422629366,0.277851266297647,0.00155912788441435
7950,0.00145851596349659,0.260035429504525,0.00155359397921429
8000,0.000569716238563589,0.228420067429323,0.00152556697767366
8050,0.000554836706872991,0.211508302054127,0.000851028515633139
8100,0.000179613390391294,0.240822783227767,0.00149071367459216
8150,0.000509341799780674,0.306043082547347,0.00306197754677208
8200,0.000480672686429242,0.201203365325113,0.00110015391256426
8250,3.33784867947388e-05,0.221194732825856,0.00136595648290554
8300,0.00279197642783397,0.246262353972704,0.00139739457410141
8350,0.0016162163010636,0.249167250020695,0.00156926272435375
8400,0.000528145537015461,0.259224494884415,0.00158755535451236
8450,0.000913239357008515,0.192745264876999,0.000752906324016629
8500,0.00053857732796966,0.220069977334614,0.001042992090601
8550,0.0010110518805451,0.214032369760639,0.00125298352284926
8600,0.00128396142673358,0.310828663817841,0.0029893100215396
8650,0.000725541768364304,0.238032782708648,0.00224361282813598
8700,0.000460756405817714,0.202551379713014,0.00133604770572315
8750,0.000848356579105002,0.177385487389145,0.000783837170853682
8800,0.000213980527816689,0.182425009786822,0.000832195283834439
8850,0.000412828735078842,0.20890277157362,0.00115672120272453
8900,0.000487971080815502,0.167927739550085,0.000628287991365086
8950,0.000838108682691442,0.161113892911402,0.000683470742084757
9000,0.000590155956501192,0.211628708756099,0.000928977448656356
9050,0.000891639302251985,0.262662635195676,0.00186771755356568
9100,0.000761256628111445,0.210600660710589,0.00126863227487306
9150,0.00150393319258513,0.291102322342242,0.00243901649915378
9200,0.000955445617656664,0.236302030505404,0.00153519480368254
9250,0.000375467566446305,0.205148584080049,0.00105479261748591
9300,0.000549031105651278,0.178838208801821,0.000700432869811846
9350,0.000888720009704236,0.207531505441323,0.000881166225527234
9400,0.00101037157497858,0.254610357791372,0.00186082666769346
9450,0.0001589512840189,0.250223861181584,0.0013115364235588
9500,0.000337398399661238,0.17278363973119,0.000833241349058393
9550,0.0011527259023985,0.129323238953201,0.000437907910156357
9600,0.00104539685597977,0.161196235078546,0.000488410728097596
9650,0.000523300109729437,0.148068945382987,0.000551885138056971
9700,0.000921959263186718,0.269766172090563,0.00194238167187956
9750,0.000306986777753657,0.228631572534872,0.00131878215931411
9800,0.000757302917529124,0.145959911689137,0.00049252342904852
9850,0.000818226885983596,0.197287487006105,0.000917245974046846
9900,0.000102270826416714,0.196793444790532,0.000779717950578954
9950,0.000684788430457942,0.187308130621193,0.000861337766818017
10000,0.00181435701700929,0.210497133600452,0.00125543894807088
